season_num,episode_num,script_link,script_title
3,317,http://www.oocities.org/friends_greatestsitcom4/script/317.htm,The One Without The Ski Trip
3,318,http://www.oocities.org/friends_greatestsitcom4/script/318.htm,The One With The Hypnosis Tape
3,319,http://www.oocities.org/friends_greatestsitcom4/script/319.htm,The One With The Tiny T-Shirt
3,320,http://www.oocities.org/friends_greatestsitcom4/script/320.htm,The One With The Dollhouse
3,321,http://www.oocities.org/friends_greatestsitcom4/script/321.htm,The One With The Chick And The Duck
3,322,http://www.oocities.org/friends_greatestsitcom4/script/322.htm,The One With The Screamer
3,323,http://www.oocities.org/friends_greatestsitcom4/script/323.htm,The One With Ross's Thing
3,324,http://www.oocities.org/friends_greatestsitcom4/script/324.htm,TOW The Ultimate Fighting Champion
3,325,http://www.oocities.org/friends_greatestsitcom4/script/325.htm,The One At The Beach
2,201,http://www.oocities.org/friends_greatestsitcom4/script/201.htm,The One With Ross's New Girlfriend
2,202,http://www.oocities.org/friends_greatestsitcom4/script/202.htm,The One With The Breast Milk
2,203,http://www.oocities.org/friends_greatestsitcom4/script/203.htm,The One Where Heckles Dies
2,204,http://www.oocities.org/friends_greatestsitcom4/script/204.htm,The One With Phoebe's Husband
2,205,http://www.oocities.org/friends_greatestsitcom4/script/205.htm,The One With Five Steaks And An Eggplant
2,206,http://www.oocities.org/friends_greatestsitcom4/script/206.htm,The One With The Baby On The Bus
2,207,http://www.oocities.org/friends_greatestsitcom4/script/207.htm,The One Where Ross Finds Out
2,208,http://www.oocities.org/friends_greatestsitcom4/script/208.htm,The One With The List
2,209,http://www.oocities.org/friends_greatestsitcom4/script/209.htm,The One With Phoebe's Dad
2,210,http://www.oocities.org/friends_greatestsitcom4/script/210.htm,The One With Russ
2,211,http://www.oocities.org/friends_greatestsitcom4/script/211.htm,The One With The Lesbian Wedding
2,212- 213,http://www.oocities.org/friends_greatestsitcom4/script/212-213.htm,The One After The Superbowl
2,214,http://www.oocities.org/friends_greatestsitcom4/script/214.htm,The One With The Prom Video
2,215,http://www.oocities.org/friends_greatestsitcom4/script/215.htm,TOW Ross And Rachel... You Know
2,216,http://www.oocities.org/friends_greatestsitcom4/script/216.htm,The One Where Joey Moves Out
2,217,http://www.oocities.org/friends_greatestsitcom4/script/217.htm,The One Where Eddie Moves In
2,218,http://www.oocities.org/friends_greatestsitcom4/script/218.htm,The One Where Dr. Ramoray Dies
2,219,http://www.oocities.org/friends_greatestsitcom4/script/219.htm,The One Where Eddie Won't Go
2,220,http://www.oocities.org/friends_greatestsitcom4/script/220.htm,The One Where Old Yeller Dies
2,221,http://www.oocities.org/friends_greatestsitcom4/script/221.htm,The One With The Bullies
2,222,http://www.oocities.org/friends_greatestsitcom4/script/222.htm,The One With The Two Parties
2,223,http://www.oocities.org/friends_greatestsitcom4/script/223.htm,The One With The Chicken Pox
2,224,http://www.oocities.org/friends_greatestsitcom4/script/224.htm,The One With Barry And Mindy's Wedding
1,101,http://www.oocities.org/friends_greatestsitcom4/script/101.htm,The One Where Monica Gets A Roommate
1,102,http://www.oocities.org/friends_greatestsitcom4/script/102.htm,The One With The Sonogram At The End
1,103,http://www.oocities.org/friends_greatestsitcom4/script/103.htm,The One With The Thumb
1,104,http://www.oocities.org/friends_greatestsitcom4/script/104.htm,The One With George Stephanopoulos
1,105,http://www.oocities.org/friends_greatestsitcom4/script/105.htm,TOWThe East German Laundry Detergent
1,106,http://www.oocities.org/friends_greatestsitcom4/script/106.htm,The One With The Butt
1,107,http://www.oocities.org/friends_greatestsitcom4/script/107.htm,The One With The Blackout
1,108,http://www.oocities.org/friends_greatestsitcom4/script/108.htm,The One Where Nana Dies Twice
1,109,http://www.oocities.org/friends_greatestsitcom4/script/109.htm,The One Where Underdog Gets Away
1,110,http://www.oocities.org/friends_greatestsitcom4/script/110.htm,The One With The Monkey
1,111,http://www.oocities.org/friends_greatestsitcom4/script/111.htm,The One With Mrs. Bing
1,112,http://www.oocities.org/friends_greatestsitcom4/script/112.htm,The One With The Dozen Lasagnas
1,113,http://www.oocities.org/friends_greatestsitcom4/script/113.htm,The One With The Boobies
1,114,http://www.oocities.org/friends_greatestsitcom4/script/114.htm,The One With The Candy Hearts
1,115,http://www.oocities.org/friends_greatestsitcom4/script/115.htm,The One With The Stoned Guy
1,116,http://www.oocities.org/friends_greatestsitcom4/script/116.htm,"The One With The Two Parts, Part I"
1,117,http://www.oocities.org/friends_greatestsitcom4/script/117.htm,"The One With The Two Parts, Part II"
1,118,http://www.oocities.org/friends_greatestsitcom4/script/118.htm,The One With All The Poker
1,119,http://www.oocities.org/friends_greatestsitcom4/script/119.htm,The One Where The Monkey Gets Away
1,120,http://www.oocities.org/friends_greatestsitcom4/script/120.htm,The One With The Evil Orthodontist
1,121,http://www.oocities.org/friends_greatestsitcom4/script/121.htm,The One With The Fake Monica
1,122,http://www.oocities.org/friends_greatestsitcom4/script/122.htm,The One With The Ick Factor
1,123,http://www.oocities.org/friends_greatestsitcom4/script/123.htm,The One With The Birth
1,124,http://www.oocities.org/friends_greatestsitcom4/script/124.htm,The One Where Rachel Finds Out
